date,open,high,low,close,volume
2/1/2015,62.62,62.96,62.07,62.49,12599991
5/1/2015,62.06,62.28,60.23,60.55,20100577
6/1/2015,60.64,60.75,58.35,58.98,29074111
7/1/2015,59.89,59.89,58.66,59.07,23843244
8/1/2015,59.97,60.90,59.97,60.39,16971056
9/1/2015,60.72,60.79,59.29,59.34,15396195
12/1/2015,59.28,59.40,58.27,58.83,15455234
13/1/2015,59.26,59.70,58.37,58.84,21644739
14/1/2015,56.91,57.00,55.27,56.81,49602310
15/1/2015,55.73,56.61,54.50,54.99,42458146
16/1/2015,54.66,56.00,54.64,55.93,29368910
20/1/2015,56.04,56.39,55.42,55.71,23477689
21/1/2015,55.45,56.42,55.19,55.89,21842362
22/1/2015,56.38,57.73,55.96,57.59,31423538
23/1/2015,57.72,57.87,56.66,56.68,15458254
26/1/2015,56.41,56.99,56.20,56.77,12577658
27/1/2015,56.05,56.61,55.76,56.20,15220526
28/1/2015,56.62,56.68,54.75,54.75,24354354
29/1/2015,55.27,55.89,54.68,55.67,20393264
30/1/2015,54.99,55.50,54.37,54.38,26943713
2/2/2015,54.53,55.65,54.27,55.47,20308885
3/2/2015,55.91,56.78,55.87,56.72,18812501
4/2/2015,56.32,57.07,56.28,56.38,14934076
5/2/2015,56.86,57.04,56.46,56.77,11293901
6/2/2015,57.75,58.73,57.54,57.89,25214001
9/2/2015,57.42,58.10,57.23,57.82,14372365
10/2/2015,58.42,58.71,58.05,58.46,16367266
11/2/2015,58.06,58.66,57.84,58.37,13061925
12/2/2015,58.93,59.71,58.55,59.57,23211327
13/2/2015,59.46,60.22,59.34,59.67,16479114
17/2/2015,59.36,60.14,59.32,60.10,15308763
18/2/2015,59.79,59.83,59.12,59.37,14278117
19/2/2015,59.15,59.48,58.80,59.23,11256543
20/2/2015,58.96,59.89,58.35,59.80,15379042
23/2/2015,59.50,59.53,58.80,59.35,16813999
24/2/2015,60.25,61.25,60.08,60.82,22937701
25/2/2015,60.76,61.27,60.75,61.14,18307912
26/2/2015,61.03,61.70,60.91,61.58,15444802
27/2/2015,61.13,61.92,61.13,61.28,15225935
2/3/2015,61.24,61.83,61.03,61.77,13047328
3/3/2015,61.65,61.99,61.50,61.97,13707655
4/3/2015,61.64,62.17,61.35,62.13,16626413
5/3/2015,62.20,62.23,61.60,62.00,10931262
6/3/2015,62.16,62.87,60.80,60.89,22719177
9/3/2015,60.84,61.63,60.80,61.50,13001473
10/3/2015,60.76,61.01,59.96,59.96,16357724
11/3/2015,60.13,60.65,59.96,60.24,13015567
12/3/2015,60.65,61.45,60.65,61.37,18159558
13/3/2015,61.40,61.86,60.43,61.00,16506155
16/3/2015,61.50,61.92,61.25,61.85,15182859
17/3/2015,61.34,61.66,60.92,61.61,11718327
18/3/2015,61.39,62.05,61.08,61.75,15697854
19/3/2015,61.57,61.65,60.76,61.20,11523785
20/3/2015,61.32,62.10,61.15,61.75,18368347
23/3/2015,61.75,62.08,61.12,61.14,15112872
24/3/2015,60.97,61.24,60.45,60.46,12128693
25/3/2015,60.53,60.64,59.59,59.61,14950859
26/3/2015,59.46,59.79,58.87,59.54,14039559
27/3/2015,59.49,59.78,59.00,59.55,11755819
30/3/2015,60.88,61.46,60.61,60.96,20656523
31/3/2015,60.72,60.94,60.42,60.58,17346667
1/4/2015,60.41,60.57,59.73,59.95,18100587
2/4/2015,60.07,60.70,60.00,60.52,12697771
6/4/2015,59.92,60.75,59.65,60.47,12025243
7/4/2015,61.15,61.50,60.85,60.85,11505503
8/4/2015,61.06,61.56,60.94,61.05,11733950
9/4/2015,61.27,61.58,60.83,61.47,11728495
10/4/2015,61.35,61.78,61.20,61.70,9869670
13/4/2015,61.64,62.27,61.50,62.07,15468702
14/4/2015,62.96,63.61,62.74,63.04,33775406
15/4/2015,63.08,64.48,63.01,64.21,28732225
16/4/2015,64.08,64.27,63.66,63.81,16640454
17/4/2015,63.25,63.40,62.49,62.84,20221236
20/4/2015,63.22,63.52,63.14,63.24,12755309
21/4/2015,63.33,63.60,62.13,62.31,14985119
22/4/2015,62.65,63.15,62.03,62.94,14484658
23/4/2015,62.79,63.21,62.60,62.80,12851257
24/4/2015,62.63,62.84,62.34,62.60,9597525
27/4/2015,62.70,63.15,62.31,62.34,11146409
28/4/2015,62.49,62.78,61.77,62.76,12307828
29/4/2015,62.56,63.89,62.46,63.60,17601215
30/4/2015,63.58,63.88,62.92,63.26,16840865
1/5/2015,63.70,63.87,63.33,63.61,11640805
