date,open,high,low,close,volume,data_rec1,data_rec2
2015-01-02,62.62,62.96,62.07,62.49,12599991,62.49000000000002,56.88915591514333
2015-01-05,62.06,62.28,60.23,60.55,20100577,60.55000000000001,55.426191459850095
2015-01-06,60.64,60.75,58.35,58.98,29074111,58.98000000000001,54.178373523363334
2015-01-07,59.89,59.89,58.66,59.07,23843244,59.070000000000014,54.178373523363334
2015-01-08,59.97,60.9,59.97,60.39,16971056,60.390000000000015,54.78915591514332
2015-01-09,60.72,60.79,59.29,59.34,15396195,59.34000000000002,54.2161914598501
2015-01-12,59.28,59.4,58.27,58.83,15455234,58.83000000000001,53.98837352336333
2015-01-13,59.26,59.7,58.37,58.84,21644739,58.84000000000002,53.98837352336333
2015-01-14,56.91,57.0,55.27,56.81,49602310,56.81000000000001,51.42700583307662
2015-01-15,55.73,56.61,54.5,54.99,42458146,54.99,50.08404137778339
2015-01-16,54.66,56.0,54.64,55.93,29368910,55.93,50.75552360543001
2015-01-20,56.04,56.39,55.42,55.71,23477689,55.71,50.75552360543001
2015-01-21,55.45,56.42,55.19,55.89,21842362,55.89000000000001,51.0165413777834
2015-01-22,56.38,57.73,55.96,57.59,31423538,57.59000000000001,52.23950583307662
2015-01-23,57.72,57.87,56.66,56.68,15458254,56.68000000000002,51.62802360543001
2015-01-26,56.41,56.99,56.2,56.77,12577658,56.77000000000001,51.62802360543001
2015-01-27,56.05,56.61,55.76,56.2,15220526,56.200000000000024,50.63200583307663
2015-01-28,56.62,56.68,54.75,54.75,24354354,54.75000000000002,49.65904137778341
2015-01-29,55.27,55.89,54.68,55.67,20393264,55.670000000000016,50.552005833076635
2015-01-30,54.99,55.5,54.37,54.38,26943713,54.38000000000001,49.73904137778341
2015-02-02,54.53,55.65,54.27,55.47,20308885,55.470000000000006,50.844041377783405
2015-02-03,55.91,56.78,55.87,56.72,18812501,56.720000000000006,51.617005833076625
2015-02-04,56.32,57.07,56.28,56.38,14934076,56.38000000000002,51.230523605430015
2015-02-05,56.86,57.04,56.46,56.77,11293901,56.77000000000002,51.230523605430015
2015-02-06,57.75,58.73,57.54,57.89,25214001,57.89000000000001,53.00837352336333
2015-02-09,57.42,58.1,57.23,57.82,14372365,57.820000000000014,53.00837352336333
2015-02-10,58.42,58.71,58.05,58.46,16367266,58.46000000000001,53.0526736874967
2015-02-11,58.06,58.66,57.84,58.37,13061925,58.370000000000005,53.0526736874967
2015-02-12,58.93,59.71,58.55,59.57,23211327,59.570000000000014,54.57302360543002
2015-02-13,59.46,60.22,59.34,59.67,16479114,59.67000000000001,54.57302360543002
2015-02-17,59.36,60.14,59.32,60.1,15308763,60.100000000000016,54.699505833076635
2015-02-18,59.79,59.83,59.12,59.37,14278117,59.37000000000001,54.44654137778341
2015-02-19,59.15,59.48,58.8,59.23,11256543,59.230000000000004,54.621891295716715
2015-02-20,58.96,59.89,58.35,59.8,15379042,59.80000000000001,54.71485575100994
2015-02-23,59.5,59.53,58.8,59.35,16813999,59.350000000000016,54.2261914598501
2015-02-24,60.25,61.25,60.08,60.82,22937701,60.82000000000003,55.21915591514333
2015-02-25,60.76,61.27,60.75,61.14,18307912,61.14000000000001,56.338023605430024
2015-02-26,61.03,61.7,60.91,61.58,15444802,61.580000000000005,56.338023605430024
2015-02-27,61.13,61.92,61.13,61.28,15225935,61.28000000000003,56.33154137778342
2015-03-02,61.24,61.83,61.03,61.77,13047328,61.770000000000024,56.34450583307663
2015-03-03,61.65,61.99,61.5,61.97,13707655,61.97000000000002,56.68767368749672
2015-03-04,61.64,62.17,61.35,62.13,16626413,62.13000000000003,56.68767368749672
2015-03-05,62.2,62.23,61.6,62.0,10931262,62.000000000000014,56.914855751009945
2015-03-06,62.16,62.87,60.8,60.89,22719177,60.890000000000015,56.281891295716726
2015-03-09,60.84,61.63,60.8,61.5,13001473,61.50000000000002,56.19450583307663
2015-03-10,60.76,61.01,59.96,59.96,16357724,59.96000000000003,55.13154137778342
2015-03-11,60.13,60.65,59.96,60.24,13015567,60.240000000000016,55.33654137778342
2015-03-12,60.65,61.45,60.65,61.37,18159558,61.37000000000001,55.989505833076635
2015-03-13,61.4,61.86,60.43,61.0,16506155,61.00000000000002,56.26154137778341
2015-03-16,61.5,61.92,61.25,61.85,15182859,61.850000000000016,56.634505833076624
2015-03-17,61.34,61.66,60.92,61.61,11718327,61.61000000000002,56.448023605430016
2015-03-18,61.39,62.05,61.08,61.75,15697854,61.75000000000002,56.448023605430016
2015-03-19,61.57,61.65,60.76,61.2,11523785,61.200000000000024,56.07619145985011
2015-03-20,61.32,62.1,61.15,61.75,18368347,61.75000000000002,56.149155915143325
2015-03-23,61.75,62.08,61.12,61.14,15112872,61.14000000000001,56.05485575100993
2015-03-24,60.97,61.24,60.45,60.46,12128693,60.46,55.851891295716705
2015-03-25,60.53,60.64,59.59,59.61,14950859,59.61000000000002,54.728373523363324
2015-03-26,59.46,59.79,58.87,59.54,14039559,59.54000000000003,54.728373523363324
2015-03-27,59.49,59.78,59.0,59.55,11755819,59.55000000000001,54.42619145985009
2015-03-30,60.88,61.46,60.61,60.96,20656523,60.96000000000002,55.35915591514332
2015-03-31,60.72,60.94,60.42,60.58,17346667,60.58000000000001,55.35200583307662
2015-04-01,60.41,60.57,59.73,59.95,18100587,59.95000000000002,55.1990413777834
2015-04-02,60.07,60.7,60.0,60.52,12697771,60.52000000000002,55.27552360543001
2015-04-06,59.92,60.75,59.65,60.47,12025243,60.47000000000002,55.27552360543001
2015-04-07,61.15,61.5,60.85,60.85,11505503,60.85000000000001,56.10337352336332
2015-04-08,61.06,61.56,60.94,61.05,11733950,61.05000000000001,56.10337352336332
2015-04-09,61.27,61.58,60.83,61.47,11728495,61.47000000000001,56.2226736874967
2015-04-10,61.35,61.78,61.2,61.7,9869670,61.70000000000002,56.2226736874967
2015-04-13,61.64,62.27,61.5,62.07,15468702,62.07000000000002,57.46189129571672
2015-04-14,62.96,63.61,62.74,63.04,33775406,63.04000000000002,57.95485575100994
2015-04-15,63.08,64.48,63.01,64.21,28732225,64.21000000000002,58.6476736874967
2015-04-16,64.08,64.27,63.66,63.81,16640454,63.81000000000002,58.6476736874967
2015-04-17,63.25,63.4,62.49,62.84,20221236,62.84000000000001,57.72802360543002
2015-04-20,63.22,63.52,63.14,63.24,12755309,63.240000000000016,57.72802360543002
2015-04-21,63.33,63.6,62.13,62.31,14985119,62.31000000000002,57.65154137778341
2015-04-22,62.65,63.15,62.03,62.94,14484658,62.94000000000001,57.804505833076625
2015-04-23,62.79,63.21,62.6,62.8,12851257,62.80000000000001,57.520523605430014
2015-04-24,62.63,62.84,62.34,62.6,9597525,62.60000000000002,57.520523605430014
2015-04-27,62.7,63.15,62.31,62.34,11146409,62.34000000000002,57.520523605430014
2015-04-28,62.49,62.78,61.77,62.76,12307828,62.76000000000002,57.520523605430014
2015-04-29,62.56,63.89,62.46,63.6,17601215,63.600000000000016,58.583373523363335
2015-04-30,63.58,63.88,62.92,63.26,16840865,63.26000000000001,58.583373523363335
2015-05-01,63.7,63.87,63.33,63.61,11640805,63.61000000000002,58.486191459850104
2015-05-04,63.68,64.87,63.64,64.72,14972462,64.72000000000003,59.119155915143324
2015-05-05,64.51,65.32,64.29,64.4,17692369,64.40000000000003,59.31485575100995
2015-05-06,64.53,65.07,63.42,63.92,18087852,63.92000000000002,59.31189129571673
2015-05-07,63.67,64.6,63.25,64.5,15039936,64.50000000000003,59.376191459850105
2015-05-08,64.97,65.65,64.6,65.49,16802611,65.49000000000001,59.88915591514332
2015-05-11,65.26,65.64,65.08,65.45,13799675,65.45,60.49052360543001
2015-05-12,65.31,65.54,64.76,65.36,12762234,65.36,60.49052360543001
2015-05-13,65.42,65.63,65.06,65.52,11874274,65.52000000000001,60.4640413777834
2015-05-14,65.83,66.18,65.71,66.05,11855518,66.05000000000001,60.517005833076624
2015-05-15,66.13,66.16,65.44,65.88,11152125,65.88000000000001,61.27189129571673
2015-05-18,65.8,66.54,65.8,66.42,10510893,66.42000000000003,61.334855751009954
2015-05-19,66.77,67.19,66.57,67.01,14282994,67.01000000000003,61.40915591514334
2015-05-20,66.95,67.03,66.4,66.48,12446012,66.48000000000003,61.356191459850116
2015-05-21,66.14,66.68,66.01,66.65,12934474,66.65000000000003,61.22552360543002
2015-05-22,66.63,66.83,66.32,66.47,9296939,66.47000000000003,61.22552360543002
2015-05-26,66.2,66.29,65.31,65.73,15571327,65.73000000000003,61.09404137778342
2015-05-27,65.95,66.65,65.82,66.47,10963652,66.47000000000001,61.35700583307662
2015-05-28,66.36,66.4,65.74,66.2,11797444,66.20000000000003,60.91552360543002
2015-05-29,66.18,66.22,65.36,65.78,14310723,65.78000000000002,60.91552360543002
2015-06-01,65.99,66.66,65.97,66.08,11899261,66.08000000000001,60.91552360543002
2015-06-02,65.83,66.39,65.58,66.02,12784152,66.02000000000001,60.91552360543002
2015-06-03,66.43,67.13,66.27,66.7,12927263,66.7,61.668373523363314
2015-06-04,66.31,67.05,66.01,66.33,13863283,66.33,61.668373523363314
2015-06-05,67.37,67.84,67.01,67.42,20801141,67.42000000000003,61.81915591514332
2015-06-08,67.46,67.55,66.81,66.89,14558660,66.89000000000003,61.7661914598501
2015-06-09,66.95,67.27,66.47,67.18,13263493,67.18000000000004,62.57189129571672
2015-06-10,67.59,68.5,67.47,68.26,17478898,68.26000000000002,63.174855751009936
2015-06-11,68.36,68.68,68.15,68.52,13739872,68.52000000000001,63.022673687496706
2015-06-12,68.31,68.54,67.87,68.25,11804741,68.25000000000003,63.022673687496706
2015-06-15,67.58,68.21,67.3,67.99,14082323,67.99,63.215523605430015
2015-06-16,67.77,68.52,67.62,68.37,11692849,68.37000000000002,63.215523605430015
2015-06-17,68.41,68.68,68.04,68.14,14521889,68.14,63.134041377783404
2015-06-18,68.35,68.82,67.9,68.78,16759603,68.78000000000002,63.297005833076625
2015-06-19,68.46,68.67,67.92,68.08,21606383,68.08000000000004,63.47189129571673
2015-06-22,68.87,69.29,68.75,68.96,14306669,68.96000000000004,63.874855751009946
2015-06-23,69.35,69.82,69.19,69.75,15736884,69.75000000000001,64.14915591514331
2015-06-24,69.51,69.77,68.91,69.02,16995033,69.02000000000002,63.896191459850094
2015-06-25,69.32,69.48,68.64,68.65,13314291,68.65000000000002,63.43767368749671
2015-06-26,68.94,69.29,68.76,68.95,14489159,68.95000000000003,63.43767368749671
2015-06-29,67.68,68.26,67.16,67.2,19934417,67.20000000000002,62.59189129571673
2015-06-30,67.89,68.11,67.16,67.76,20677358,67.76000000000002,62.67485575100995
2015-07-01,68.12,68.39,67.78,68.07,13964423,68.07000000000001,62.46915591514331
2015-07-02,67.95,68.13,67.18,67.52,12822941,67.52000000000002,62.396191459850094
2015-07-06,66.88,67.46,66.54,67.33,13527098,67.33000000000001,62.24485575100993
2015-07-07,67.09,67.22,65.3,66.8,22421483,66.80000000000001,62.19189129571671
2015-07-08,66.0,66.16,65.2,65.43,17707242,65.43000000000002,60.82189129571673
2015-07-09,66.49,66.7,65.99,66.11,14984705,66.11000000000003,61.024855751009945
2015-07-10,67.22,67.4,66.82,67.05,12356059,67.05000000000001,61.92619145985011
2015-07-13,67.89,68.14,67.68,68.09,16175638,68.09000000000003,62.489155915143336
2015-07-14,67.98,69.1,67.76,69.04,20185118,69.04,64.14552360543
2015-07-15,69.23,69.43,68.85,69.19,16891606,69.19000000000001,64.14552360543
2015-07-16,69.63,69.95,69.41,69.56,18035652,69.56,64.14552360543
2015-07-17,69.35,69.49,68.92,69.21,14040686,69.21000000000001,64.14552360543
2015-07-20,69.5,69.77,69.18,69.26,11512894,69.26,64.33337352336333
2015-07-21,69.16,69.54,68.87,69.1,11659915,69.10000000000001,64.33337352336333
2015-07-22,69.28,70.29,69.2,70.08,15493019,70.08000000000003,64.4976736874967
2015-07-23,70.19,70.61,69.46,69.64,14331837,69.64000000000003,64.4976736874967
2015-07-24,69.44,69.56,68.68,68.91,12413896,68.91000000000003,63.58450583307662
2015-07-27,68.15,68.22,67.57,68.01,16801563,68.01000000000002,63.16154137778341
2015-07-28,68.55,68.6,67.77,68.05,14932360,68.05000000000001,63.1665413777834
2015-07-29,68.32,69.1,68.16,68.94,13059190,68.94000000000003,63.579505833076624
2015-07-30,68.93,69.45,68.54,69.04,10197182,69.04000000000002,63.55200583307664
2015-07-31,69.01,69.04,68.4,68.53,11911818,68.53000000000003,63.51904137778342
2015-08-03,68.59,68.84,68.0,68.53,9980587,68.53000000000003,63.53552360543003
2015-08-04,68.47,68.95,68.31,68.46,10963966,68.46000000000001,63.53552360543003
2015-08-05,69.05,69.42,68.56,68.73,11302860,68.73000000000003,63.37700583307664
2015-08-06,68.75,68.94,68.0,68.25,10803363,68.25000000000004,63.37404137778341
2015-08-07,68.33,68.74,67.55,68.05,11453310,68.05000000000001,63.194041377783414
2015-08-10,68.22,69.0,68.22,68.89,12661440,68.89000000000001,63.55700583307664
2015-08-11,68.23,68.4,67.85,68.23,14800333,68.23000000000003,62.87950583307664
2015-08-12,67.41,67.55,66.07,67.24,21150053,67.24000000000002,62.36654137778341
2015-08-13,67.25,67.8,66.97,67.55,11930623,67.55000000000003,62.62302360543003
2015-08-14,67.42,67.91,67.4,67.89,11248813,67.89000000000003,62.62302360543003
2015-08-17,67.62,68.24,67.4,68.07,10326540,68.07000000000002,62.7776736874967
2015-08-18,67.98,68.36,67.84,68.21,10617481,68.21000000000001,62.7776736874967
2015-08-19,67.93,68.31,67.36,67.6,15198203,67.6,62.514855751009925
2015-08-20,66.81,67.04,65.94,65.94,20858730,65.94,61.33189129571671
2015-08-21,65.09,65.44,63.57,63.6,28030954,63.60000000000001,57.99950583307661
2015-08-24,59.29,62.92,50.07,60.25,36031073,60.250000000000014,55.1265413777834
2015-08-25,63.1,63.32,59.73,59.91,31605022,59.91000000000001,55.301541377783394
2015-08-26,61.8,62.98,60.54,62.91,33370812,62.91000000000001,57.824505833076614
2015-08-27,63.98,64.73,63.14,64.48,28854171,64.48000000000002,58.94267368749671
2015-08-28,64.29,64.46,63.6,64.13,16581709,64.13000000000002,58.94267368749671
