date,time,close,open,high,low,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,HIBOR,open_denoise,high_denoise,low_denoise,close_denoise
2008-07-03,733592,21242.7793,21389.4902,21742.0703,21163.5703,272528.48,-702.2826196000001,-186.95595749999998,578.5,23233.30243,22793.47797,22289.66071,-1392.3806,21909.451559999998,-1786.9102,-7.872372588999999,-0.06820145400000001,-507305.2571,72.73,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-04,733593,21423.8203,21402.1699,21534.0508,21344.8496,179634.42,-723.8917704,-133.74266709999998,291.2715,23123.37093,22663.03438,22152.2818,-1031.8496,21703.08164,-1634.1699,-8.15397729,-0.058111429000000006,-398848.614,72.71,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-07,733596,21913.0605,21402.6992,21916.2109,21402.6992,196457.92,-693.5448296,-77.44577669,513.5117,23033.5075,22591.6083,22069.02789,-129.2891,21677.22382,-1412.7403,-3.8800072610000003,-0.035302742000000005,-264228.1697,72.71,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-08,733597,21220.8105,21632.6992,21684.2109,21098.8398,201519.68,-717.0873138999999,-108.63412290000001,814.2207,22911.84674,22461.05613,21919.61285,-881.1993,21500.983959999998,-1576.7989,-6.703666321,-0.055005697,-518512.8442,72.96,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-09,733598,21805.8105,21740.8594,21954.1699,21531.9707,269124.14,-680.6936783,-48.90903703,733.3594,22806.950259999998,22398.65178,21854.59195,-296.1993,21521.25622,-939.7891,-4.0024299580000005,-0.036639873999999996,-365068.5076,72.59,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-10,733599,21821.7793,21562.0703,22020.6602,21498.8691,251210.84,-643.1490888,-39.70867976,521.7911,22691.197180000003,22343.71155,21773.25389,117.3301,21637.05622,-893.1816,-2.82436609,-0.028228532,-121585.1994,72.49,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-11,733600,22184.5508,21834.6406,22225.3809,21761.0391,216373.24,-577.4654408,11.42154294,464.3418,22606.91991,22328.55338,21746.14198,941.7715,21789.20232,-271.4687,-1.990748473,0.00640992,-968.1786386,71.91,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-14,733603,22014.4609,22205.0,22360.2891,21871.5996,149491.95,-532.9915156000001,25.15906516,488.6895,22525.81263,22298.63981,21743.35311,590.6406,21809.4824,-620.6990000000001,-1.96479999,-0.0039611279999999995,30452.53142,71.96,1.6,21646.20360000001,21929.630375000008,21459.179675000014,21932.306512500014
2008-07-15,733604,21174.7695,21644.0391,21644.0391,21077.2402,214014.8,-559.0572241,-108.8039991,937.2207,22407.33111,22191.60454,21650.629080000002,-738.291,21800.2742,-1280.9004,-3.93596924,-0.024404198999999998,67780.8984,71.7,1.6,21617.239750000015,21720.472200000015,21353.850075000013,21272.872425000012
2008-07-16,733605,21223.5,20988.7402,21334.3809,20988.7402,178406.52,-569.2207197,-123.22929850000001,345.6407,22285.0742,22099.40411,21602.53416,2.6895,21683.8121,-818.8496,-3.9747959930000003,-0.00090757,149545.9805,72.06,1.6,21617.239750000015,21720.472200000015,21353.850075000013,21272.872425000012
2008-07-17,733606,21734.7207,21825.2402,21892.5293,21672.2695,228994.76,-529.915588,18.46476521,669.0293,22221.96655,22064.67236,21651.7283,-71.0898,21666.400380000003,-367.2891,-1.661790504,0.01430432,-75608.34881,72.05,1.6,21617.239750000015,21720.472200000015,21353.850075000013,21272.872425000012
2008-07-18,733607,21874.1895,22010.9395,22010.9395,21677.1504,184207.64,-481.95632889999996,45.79969026,333.7891,22166.06617,22046.53113,21696.765219999997,52.4102,21604.32812,169.7403,0.7820530179999999,-0.001773874,-37416.21098,72.17,1.6,21617.239750000015,21720.472200000015,21353.850075000013,21272.872425000012
2008-07-21,733610,22532.9004,22523.2793,22645.5195,22455.0098,257157.68,-386.34229260000006,202.1109465,771.33,22147.18313,22092.85201,21758.749209999998,348.3496,21708.01602,1290.1211,6.073221783999999,0.05822996,-101266.5551,71.84,1.6,22796.382300000012,22959.965325000016,22695.452150000016,22591.740600000016
2008-07-22,733611,22527.4805,22430.5898,22690.7402,22393.1406,150588.65,-307.460606,159.87849719999997,297.5996,22144.69004,22134.2452,21889.41621,513.0196,21978.55822,1103.6602,5.151556466000001,0.032035096,-107861.5765,72.43,1.6,22796.382300000012,22959.965325000016,22695.452150000016,22591.740600000016
2008-07-23,733612,23134.5508,22900.7695,23134.5508,22871.0391,258674.56,-193.7276299,191.17430430000002,607.0703,22148.723169999997,22229.5124,22022.290240000002,1959.7813,22360.76838,1221.4903,5.57425696,0.056745061,36562.55938,72.81,1.6,22796.382300000012,22959.965325000016,22695.452150000016,22591.740600000016
2008-07-24,733613,23087.7207,23330.8906,23369.0508,23062.6191,258970.86,-106.14860949999999,160.8278877,306.4317,22149.86665,22311.24653,22148.88438,1864.2207,22631.36838,1866.9102,8.797544279,0.039119059,-132990.7388,72.85,1.6,22796.382300000012,22959.965325000016,22695.452150000016,22591.740600000016
2008-07-25,733614,22740.7109,22751.5098,22843.1992,22542.0801,191765.26,-64.00459057,81.22167907,545.6406,22127.36319,22352.1479,22204.50039,1005.9902,22804.67266,934.9004,4.287391198,0.031936117,-113895.7432,72.81,1.6,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-07-28,733617,22687.2109,22801.8496,22862.0293,22619.2305,108176.44,-34.52418155,69.34850898,242.7988,22123.11709,22384.05866,22271.77539,813.0214,22835.53476,865.4316,3.965907583,0.066664933,-293883.2551,72.69,1.6,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-07-29,733618,22258.0,22265.9297,22265.9297,22089.0898,140323.27,-45.27260317,-0.938336823,598.1211,22104.36326,22372.053069999998,22380.09844,-274.9004,22781.63866,73.4492,0.33108265600000003,0.046477671,-147904.3208,73.3,1.6,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-07-30,733619,22690.5996,22637.3301,22751.0391,22573.1797,196874.8,-18.66843433,53.19288134,493.0391,22103.42629,22402.39084,22526.8084,163.1191,22692.84842,676.1387,3.0713388939999997,0.042126647999999996,-29275.435230000003,73.3,1.6,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-07-31,733620,22731.0996,22878.7598,22878.7598,22695.7305,157266.21,5.6188026220000005,57.92734375,188.1602,22114.00629,22433.69643,22626.44629,-403.4512,22621.5242,1556.3301,7.349926997000001,0.037697697,-36042.21084,73.2,1.6,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-08-01,733621,22862.5996,22497.9004,22881.2695,22207.3105,180020.6,35.07326117,37.58888507,673.959,22122.753969999998,22474.54435,22725.2873,-225.1211,22645.90194,1639.0996,7.7230409689999995,0.014420897,-36408.24953,73.37,1.61,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-08-04,733624,22514.9199,22630.5898,22713.5801,22425.1309,129307.91,30.01528811,15.80281555,437.4687,22125.03282,22478.38964,22723.48925,-225.791,22611.44374,780.1992,3.589644471,-0.000557568,-4000.233632,73.5,1.61,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-08-05,733625,21949.75,22225.0605,22225.0605,21739.2207,194666.6,-19.3743442,-112.05234499999999,775.6992,22121.4713,22428.043009999998,22665.7162,-737.4609,22549.79374,75.5605,0.34543222700000004,-0.051213478,-60404.824889999996,73.96,1.61,22586.116212500012,22677.608400000012,22361.371587500016,22554.361312500012
2008-08-07,733627,22104.1992,22403.2598,22424.5391,21915.2793,217220.08,-45.52840093,-92.15036127,509.2598,22121.5555,22397.20074,22562.68104,-586.4004,22432.51366,-428.7012,-1.87895535,-0.042599332999999996,-118851.5939,74.54,1.61,22103.404800000015,22299.982450000014,21776.527325000014,21872.41012500001
2008-08-08,733628,21885.2109,21997.6406,22230.5508,21690.5996,173793.46,-82.96978097,-147.38359069999998,539.9512,22128.50788,22348.43981,22442.43006,-845.8887,22263.335919999998,-642.2696,-5.4003205460000006,-0.037619756000000004,-175594.8776,75.84,1.61,22103.404800000015,22299.982450000014,21776.527325000014,21872.41012500001
2008-08-11,733631,21859.3398,22020.5391,22235.5098,21859.3398,154913.41,-113.4224624,-106.42711100000001,376.17,22152.22174,22301.85885,22354.29295,-1003.2598,22062.68396,-1275.211,-5.320494457,-0.036490651,-437232.2278,76.27,1.61,22103.404800000015,22299.982450000014,21776.527325000014,21872.41012500001
2008-08-12,733632,21640.8906,21992.1797,22309.3301,21640.8906,186840.36,-153.4149842,-105.08584640000001,668.4395,22160.5706,22238.9095,22249.66092,-874.0293,21887.8781,-1446.8301,-4.836349685,-0.027725285,-393626.9045,76.17,1.61,22103.404800000015,22299.982450000014,21776.527325000014,21872.41012500001
2008-08-13,733633,21293.3203,21270.8594,21665.75,21223.3809,308308.36,-210.72624330000002,-153.53445159999998,442.3691,22136.73444,22148.85338,22153.19295,-656.4297,21756.59216,-1447.3906,-6.143948704,-0.061579655,-419374.8619,76.26,1.61,21280.06982500001,21427.38525000001,21019.51760000001,21194.320300000007
2008-08-14,733634,21392.7109,21302.6992,21453.4805,21109.0098,225039.28,-245.2981935,-146.3088975,344.4707,22143.34599,22076.839809999998,22023.40408,-557.0391,21614.2945,-1294.5,-3.887542007,-0.058879189000000005,-485605.2821,76.71,1.61,21280.06982500001,21427.38525000001,21019.51760000001,21194.320300000007
2008-08-15,733635,21160.5801,21383.7109,21383.7109,20994.5391,145046.12,-288.1066148,-141.1398455,398.1718,22118.529440000002,21989.57698,21866.352130000003,-943.6191,21469.36834,-1097.4199,-6.7429663689999995,-0.074445581,-731817.7459999999,77.12,1.61,21280.06982500001,21427.38525000001,21019.51760000001,21194.320300000007
2008-08-18,733638,20930.6699,21163.0098,21206.5996,20751.1406,131843.4,-336.7031249,-148.2161301,455.459,22084.256,21888.72869,21673.15916,-954.541,21283.63436,-1759.9297,-7.9205569979999995,-0.07036445200000001,-740787.4105,77.18,1.61,21280.06982500001,21427.38525000001,21019.51760000001,21194.320300000007
2008-08-19,733639,20484.3691,20675.75,20902.5098,20484.3691,138787.35,-406.542584,-151.0625424,446.3008,22018.8644,21754.98016,21470.10408,-1374.9707,21052.33006,-2246.7305,-10.40227508,-0.06676071,-627120.4913,76.76,1.61,20753.264293750013,21175.51636250001,20553.449462500015,20738.111812500014
