,decoded_0,decoded_1,decoded_2,decoded_3
0,21019.432,21030.59,21153.406,20878.508
1,21019.432,21030.59,21153.406,20878.508
2,21019.432,21030.59,21153.406,20878.508
3,21019.432,21030.59,21153.406,20878.508
4,21019.432,21030.59,21153.406,20878.508
5,21019.432,21030.59,21153.406,20878.508
6,21019.432,21030.59,21153.406,20878.508
7,21019.432,21030.59,21153.406,20878.508
8,21019.432,21030.59,21153.406,20878.508
9,21019.432,21030.59,21153.406,20878.508
10,21019.432,21030.59,21153.406,20878.508
11,21019.432,21030.59,21153.406,20878.508
12,21019.432,21030.59,21153.406,20878.508
13,21019.432,21030.59,21153.406,20878.508
14,21019.432,21030.59,21153.406,20878.508
15,21019.432,21030.59,21153.406,20878.508
16,21019.432,21030.59,21153.406,20878.508
17,21019.432,21030.59,21153.406,20878.508
18,21019.432,21030.59,21153.406,20878.508
19,21019.432,21030.59,21153.406,20878.508
20,21019.432,21030.59,21153.406,20878.508
21,21019.432,21030.59,21153.406,20878.508
22,21019.432,21030.59,21153.406,20878.508
23,21019.432,21030.59,21153.406,20878.508
24,21019.432,21030.59,21153.406,20878.508
25,21019.432,21030.59,21153.406,20878.508
26,21019.432,21030.59,21153.406,20878.508
27,21019.432,21030.59,21153.406,20878.508
28,21019.432,21030.59,21153.406,20878.508
29,21019.432,21030.59,21153.406,20878.508
30,21019.432,21030.59,21153.406,20878.508
31,21019.432,21030.59,21153.406,20878.508
32,21019.432,21030.59,21153.406,20878.508
33,21019.432,21030.59,21153.406,20878.508
34,21019.432,21030.59,21153.406,20878.508
35,21019.432,21030.59,21153.406,20878.508
36,21019.432,21030.59,21153.406,20878.508
37,21019.432,21030.59,21153.406,20878.508
38,21019.432,21030.59,21153.406,20878.508
39,21019.432,21030.59,21153.406,20878.508
40,21019.432,21030.59,21153.406,20878.508
41,21019.432,21030.59,21153.406,20878.508
42,21019.432,21030.59,21153.406,20878.508
43,21019.432,21030.59,21153.406,20878.508
44,21019.432,21030.59,21153.406,20878.508
45,21019.432,21030.59,21153.406,20878.508
46,21019.432,21030.59,21153.406,20878.508
47,21019.432,21030.59,21153.406,20878.508
48,21019.432,21030.59,21153.406,20878.508
49,21019.432,21030.59,21153.406,20878.508
50,21019.432,21030.59,21153.406,20878.508
51,21019.432,21030.59,21153.406,20878.508
52,21019.432,21030.59,21153.406,20878.508
53,21019.432,21030.59,21153.406,20878.508
54,21019.432,21030.59,21153.406,20878.508
55,21019.432,21030.59,21153.406,20878.508
56,21019.432,21030.59,21153.406,20878.508
