,decoded_0,decoded_1,decoded_2,decoded_3,decoded_4,decoded_5,decoded_6,decoded_7,decoded_8,decoded_9,decoded_10,decoded_11,decoded_12,decoded_13,decoded_14,decoded_15,decoded_16,decoded_17,decoded_18
0,0.8039807,0.80711293,0.799281,0.8052375,0.14025164,0.7539052,0.5655982,0.07582462,0.7883973,0.80787766,0.8031113,0.55805916,0.80669236,0.6343929,0.5698018,0.6191218,0.62757605,0.2662108,0.0006945431
1,0.8023877,0.80750096,0.79868543,0.804522,0.13940293,0.7520855,0.5352387,0.076072246,0.79058266,0.8101937,0.80555785,0.54248047,0.80798876,0.62047523,0.55995435,0.6091501,0.62537634,0.2704463,0.00068825483
2,0.77931374,0.7882862,0.77563184,0.7829117,0.13694975,0.7093227,0.35407847,0.082627624,0.7930123,0.8070388,0.79803675,0.4567075,0.7934859,0.51882625,0.48878545,0.5464307,0.5829927,0.27678204,0.0014692247
3,0.7756046,0.78342164,0.7712736,0.7794148,0.13635698,0.7156246,0.35285908,0.083192974,0.7878592,0.8023615,0.79441917,0.4546755,0.7889918,0.51948386,0.48958609,0.54524815,0.6003524,0.28208387,0.00095543265
4,0.76787233,0.7756969,0.7630044,0.7719889,0.13619536,0.7081598,0.3257073,0.084997475,0.7842491,0.7977289,0.78916353,0.44077548,0.78212726,0.5019996,0.47767308,0.5344875,0.59728444,0.28468978,0.00095674396
5,0.7539294,0.7630539,0.74877834,0.7584435,0.13729751,0.68409526,0.27670628,0.089092344,0.7808586,0.79163253,0.78057957,0.415296,0.7711159,0.46591452,0.45251453,0.5139472,0.57216644,0.2842067,0.0015310943
6,0.7459222,0.7564522,0.7432059,0.75004506,0.14293957,0.66645545,0.26442564,0.097488075,0.78021145,0.7896799,0.77801955,0.4031352,0.7680243,0.45130318,0.4396942,0.5045434,0.55974275,0.28018254,0.00237301
7,0.75578374,0.76689243,0.7511966,0.7599843,0.14040211,0.6677943,0.3021289,0.08787733,0.7825017,0.79262555,0.7789833,0.4343394,0.77244174,0.47716486,0.45969033,0.52646196,0.53091943,0.2725797,0.0036905408
8,0.7480418,0.7601594,0.74414825,0.75219125,0.14364171,0.6521217,0.29423478,0.091751665,0.77940786,0.7883198,0.7733537,0.42951792,0.7666409,0.46732616,0.45178512,0.52193904,0.5134641,0.26938665,0.0054364502
9,0.7532284,0.7623881,0.74715936,0.75616497,0.14332435,0.6571023,0.33419874,0.08850825,0.7773458,0.78617954,0.77056986,0.45535037,0.7660263,0.49130973,0.4687813,0.5395145,0.5120523,0.2633098,0.005687475
10,0.7298085,0.7443765,0.7310815,0.7345202,0.15633276,0.6161959,0.2664343,0.11265248,0.77601135,0.78265786,0.76703066,0.40359056,0.7579042,0.43746403,0.42729667,0.50188756,0.49780113,0.261299,0.01307103
11,0.7272155,0.7388335,0.72593755,0.73321915,0.15673932,0.612193,0.27936244,0.11342332,0.76983166,0.7758494,0.7590473,0.41751328,0.7490916,0.4455027,0.43612736,0.5099161,0.49562204,0.25452188,0.017653316
12,0.7304954,0.73951215,0.7253458,0.73301387,0.15225357,0.61409914,0.2987203,0.10316771,0.76860094,0.773026,0.75396097,0.4339579,0.74705184,0.4565893,0.442396,0.52068317,0.4804114,0.25397247,0.014673561
13,0.723432,0.73535633,0.7224641,0.7293043,0.15801725,0.6081631,0.27856266,0.1150572,0.76744884,0.77315414,0.756145,0.4161963,0.7461891,0.44337925,0.43398967,0.5087928,0.49265558,0.25484067,0.018081129
14,0.71875775,0.7324235,0.7173783,0.72268546,0.15568808,0.61336046,0.28538156,0.107890636,0.76201546,0.76798713,0.750937,0.4187412,0.74327445,0.44743663,0.43398896,0.51175976,0.48731974,0.26481873,0.010227472
15,0.686006,0.71006066,0.6996862,0.6972282,0.17911258,0.5742126,0.22156698,0.15629902,0.756714,0.76395214,0.75142837,0.3567502,0.7357682,0.3940842,0.3937922,0.46775183,0.50280035,0.26606756,0.023733467
16,0.6732093,0.69790626,0.68827623,0.6859115,0.18454179,0.56135577,0.21923542,0.16677698,0.74814546,0.75480956,0.7421191,0.354033,0.7249936,0.38863322,0.39004064,0.46474004,0.49913043,0.26432493,0.03005144
