,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
0,3.7957706,8.461173,0.0,0.0,0.34837806,3.619268,0.7869205,4.0749655,0.0,5.469739,3.1047268,2.5933592,2.4133894,0.0,9.86375,1.2498704,0.0,6.604542,0.0,0.0,1.0577042,0.0,0.0,0.0,0.0,7.872268,0.0,0.62241596,3.9682512,3.441158,0.0,0.0
1,6.451372,8.17321,0.0,0.0,4.104923,4.2136784,2.5166419,2.1651928,0.0,4.2368445,2.5703785,0.8262794,2.217192,0.0,6.572956,1.646644,2.741898,5.82976,0.0,0.12284645,2.964407,0.0,0.0,0.0,0.0,8.245259,0.0,0.0,4.316233,4.4286776,0.0,0.0
2,1.5746589,1.4754912,2.021304,0.0,6.0658083,5.8803573,3.2367556,5.501042,0.0,2.3477104,6.5045056,1.9244564,3.0306714,0.0,8.32255,2.2789752,2.4614182,6.762446,0.0,0.0,1.4321802,0.0,0.31259063,0.0,0.0,6.880993,0.0,0.0,6.734849,3.6209095,0.0,0.0
3,4.552174,2.5179682,1.4926213,0.0,1.7007933,3.0062919,3.382361,3.3072364,0.0,1.721727,0.29847753,4.5592957,0.0,0.0,4.386626,0.0,1.7051479,3.2735982,0.0,6.279371,1.0227356,0.0,3.831495,0.0,0.0,4.095517,0.0,0.0,0.0,0.0,0.0,0.0
4,8.236606,4.5401287,1.7641413,0.0,2.9203637,3.8635902,4.883406,4.89082,0.0,3.2979074,2.9053793,0.0,6.3786864,0.08211325,5.9147615,3.9943929,7.510927,6.450709,0.0,1.475052,3.3545506,0.0,0.0,0.0,0.0,6.098903,0.0,0.0,11.021085,10.192168,0.0,0.0
5,2.9912488,5.324955,1.8872372,0.0,3.4300036,3.9652023,0.0,1.0658834,0.0,4.02767,0.0,1.3929435,3.2321568,0.0,8.2520275,3.6154232,1.681871,3.3941343,0.0,0.0,0.95416886,0.0,0.0,0.0,0.0,4.2632713,0.0,0.5851431,0.8869333,2.3328283,0.0,0.0
6,7.3758216,5.317644,0.69690907,0.0,5.488741,0.29583415,3.611364,1.1843555,0.0,2.1176524,3.6275885,0.88286924,5.0311937,0.0,1.7713084,1.1732212,2.1277285,1.5018646,0.0,0.6281589,1.353343,0.0,0.0,0.0,0.0,2.9305394,0.0,5.440987,6.0631757,2.982865,0.0,0.0
7,3.471297,3.430475,1.6342845,0.0,2.4245298,5.286272,6.7836213,4.4484377,0.41675204,0.68373454,5.0512457,6.2514324,0.0,3.1578999,7.097898,0.0,1.6951344,1.8289784,0.0,8.154251,3.30359,0.0,7.126714,0.0,0.0,6.7244635,0.94280714,0.0,3.9342036,1.6696002,0.0,0.0
8,5.0434384,3.9349844,6.169807,0.0,4.4365354,2.4819286,3.1304383,2.626674,0.0,0.0,5.1626425,0.0,2.1323724,1.3474123,0.0,0.20392111,2.8582888,2.2628236,0.0,6.724379,4.307106,0.0,0.0,0.0,0.0,2.4299066,0.0,0.0,5.3263407,2.5727978,0.0,0.0
9,10.527613,4.9153905,3.5325596,0.0,1.8945981,2.6377678,5.1914744,5.556334,1.9811307,6.4009185,4.295631,2.3227181,2.5184515,1.1224099,1.8269414,0.4940561,0.4229647,3.429375,0.0,5.4438114,0.5763648,0.0,3.6177504,0.0,0.0,8.539876,0.0,5.3581614,1.2134576,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,2.0786247,0.0,0.0,0.0,4.6080427,7.7503066,3.0117302,0.6900808,0.0,2.6608477,4.4199276,4.904738,2.3672326,0.0,1.6985738,0.6494942,1.1134793,2.8418758,0.0,0.0,2.3012762,0.0,0.0,5.033185,3.1753693,0.0,0.0
11,0.0,0.20588487,2.4049022,0.0,0.0,0.8022671,1.7913077,2.995706,0.0,0.0,1.7731861,0.5263102,0.814073,0.57182264,0.9319238,1.3719035,1.2684152,0.53193545,0.0,2.2730572,0.0,0.0,0.06391606,0.0,0.0,1.9743105,0.0,0.0,4.0760655,1.023209,0.0,0.0
12,4.7198763,0.26329017,1.9338775,0.0,4.852195,1.4574236,3.3708327,3.644654,0.0,0.0,4.970052,0.0,2.0186884,0.0,1.3052223,2.7152388,1.6125734,0.4841069,0.0,5.61484,5.806204,0.0,0.0,0.0,0.0,2.8776987,1.0286486,0.08416307,2.463496,2.587178,0.0,0.0
13,7.9959016,3.4553208,0.95890594,0.0,4.7618876,0.52603567,5.648885,1.3455952,0.0,2.0635626,3.8096516,0.0,5.9217596,0.0,2.1192122,0.6787721,2.0966108,1.5360562,0.0,0.0,1.3672557,0.0,0.0,0.0,0.0,3.1316092,0.0,4.7460184,4.9778924,1.8179543,0.0,0.0
14,1.7946186,0.8350298,0.0,0.0,4.624657,6.315153,3.8951643,4.7326374,0.0,4.0855026,4.634867,3.0802886,0.0,0.0,9.269161,2.3483603,6.8814063,3.807553,0.0,7.0938115,10.4916315,0.0,4.354293,0.0,0.0,8.570374,0.0,0.0,2.160756,0.21491548,0.0,0.0
15,1.8935944,0.0,0.0,0.0,3.6270447,4.0502725,5.560546,3.6199899,0.0,3.0901506,5.026521,2.1644492,0.0,1.6424592,8.510096,0.22229224,5.384438,4.0924697,0.0,6.7802153,7.9451513,0.0,1.7788846,0.0,0.0,4.3151956,0.0,0.0,5.407842,2.6272519,0.0,0.0
16,0.9266693,0.9127582,0.0,0.0,1.1148975,3.135903,1.6000674,2.8704393,0.0,0.1955418,1.9589128,0.0,1.5011332,0.0,4.888889,2.212397,1.5886395,1.3424029,0.0,2.0100012,1.2439594,0.0,0.15685704,0.0,0.0,1.5313514,0.0,0.0,3.0166833,2.1504164,0.0,0.0
17,2.103716,0.0,0.0,0.0,1.8706534,0.0,3.4552822,2.8468883,0.0,0.5334407,4.30992,2.32954,2.2168233,0.0,4.2212715,4.6319923,0.33504552,0.45274186,0.0,3.1554062,4.1280603,0.0,0.0,0.0,0.0,4.227311,0.0,0.0,4.496393,4.3711557,0.0,0.0
18,11.200291,5.636829,3.2585623,0.0,9.865138,1.6818558,6.563256,3.3119311,3.9065926,2.1359997,3.7768044,1.2108171,4.2243376,0.0,0.93853086,0.0,0.26610386,2.0126069,0.0,4.7821727,3.1327698,0.4374388,0.30713272,0.0,0.0,3.0330195,0.0,7.1328297,7.864037,5.7009373,0.0,0.0
