,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
0,5.129226,2.8210223,2.9532897,0.0,3.7286177,3.9651155,5.6470947,6.0511336,0.0,5.721884,0.0,6.2267933,1.3153251,0.0,8.215902,5.271305,3.0617003,2.1411715,0.0,9.625851,0.5520741,0.0,1.1740758,0.0,0.0,4.9756517,0.0,1.5674655,7.000553,6.0683556,0.0,0.0
1,2.4632971,1.8118949,1.9561323,0.0,6.4734087,9.440422,9.723341,3.366332,0.0,3.3460138,1.9862207,2.3304358,0.0,0.0,4.1271453,1.6782694,1.3549438,12.003678,0.0,2.0462844,3.6924577,0.0,1.1263592,0.0,0.0,10.474598,0.0,2.503059,1.1247606,1.9788272,0.0,0.0
2,0.25618705,2.111521,0.650781,0.0,5.8180714,7.279753,3.919871,5.1831183,0.0,0.0,2.9810572,0.0,3.8463767,0.0,4.389113,4.9855723,2.1949034,8.735536,0.0,0.6917688,3.1369345,0.0,4.616496,0.0,0.0,6.7157464,0.35515207,0.0,4.263107,1.463971,0.0,0.0
3,5.7885914,4.1995454,0.0,0.0,0.5536853,2.8923247,3.1194472,0.0,0.0,5.9145503,6.8115916,3.9440935,2.1816514,2.236109,4.428716,4.41384,2.8391552,1.8910519,0.0,0.0,0.42193317,0.0,0.0,0.0,0.0,3.079882,0.9828101,2.4808717,8.458468,0.9572669,0.0,0.0
4,0.8533514,0.86961263,0.0,1.641641,3.8509514,2.6469038,3.4994493,2.885667,0.0,3.1694226,1.658286,2.7897224,0.0,0.0,5.5477877,2.0268297,1.7077514,3.270014,0.0,2.9864082,4.605384,0.0,0.0,0.0,0.0,6.8370843,0.0,0.0,0.0,0.0,0.0,0.0
5,0.49255452,4.5242968,0.0,0.0,2.802123,3.0232642,0.0,1.5981535,0.0,4.859143,7.4783864,4.6139207,0.12114765,0.0,8.546698,2.517062,3.403377,6.588633,0.0,0.0,2.2667937,0.983551,4.7906647,0.0,0.0,8.265481,0.0,0.0,7.8990116,2.8791473,0.0,0.0
6,0.0,0.0,0.54702115,0.0,0.0,4.0742755,0.0,3.8053799,0.0,1.5146083,0.17556623,0.0,4.9024773,0.0,6.6506534,4.4816346,3.183936,2.5765228,0.0,2.0156279,2.3533978,0.0,0.66167796,0.0,0.0,1.4074749,0.97592854,0.22152261,3.2835965,5.894806,0.0,0.0
7,5.588303,2.9847028,0.63828874,0.0,4.791931,5.7205005,0.6871882,0.99911565,0.0,2.5588658,1.4842927,5.421827,0.0,0.0,4.8604364,3.0675144,0.54453355,10.070095,0.0,5.0289845,3.3338947,0.0,0.84327203,0.0,0.0,2.975639,0.0,2.5605488,0.20391706,3.1855273,0.0,0.0
8,6.1804047,1.1757369,0.0,0.0,1.0646346,5.9984784,1.7516606,0.92470425,0.0,4.218209,0.0,7.064585,0.0,1.5051574,3.1923387,3.497921,0.1589324,4.0824866,0.0,2.9472332,1.50281,0.41567332,1.3033385,0.0,0.0,5.994708,0.0,4.403608,1.3687887,4.319326,0.0,0.0
9,5.5807586,10.593126,1.4571673,0.0,3.3585372,3.4147043,1.482954,0.7830265,0.0,6.5012355,2.9895396,4.0165544,2.1493058,0.0,8.52094,2.833548,1.1335725,2.4711652,0.0,0.0,0.985289,0.0,0.8297881,0.0,0.0,5.8582315,1.3353821,1.5158896,4.1949263,2.9715083,0.0,0.0
10,9.087945,4.797008,0.4221512,0.0,5.914455,2.1433883,6.906954,2.0463953,2.704769,2.7602236,3.836175,0.0,6.7327843,0.0,1.150952,0.0,1.479666,0.0,0.0,0.19327183,2.6217294,0.0,0.84473866,0.0,0.0,3.3071635,0.0,8.253865,9.071585,3.216296,0.0,0.0
11,0.52293646,0.0,0.0,0.0,4.777918,8.567083,2.6660028,5.257304,0.0,2.3050084,2.0885437,1.9749581,0.0,0.0,3.6756895,4.7557273,3.995911,5.036713,0.0,2.6035624,6.9330373,0.0,3.5090926,0.0,0.0,1.7961779,0.0,0.0,4.895281,0.0,0.0,0.0
12,5.7609324,0.0,2.817673,0.0,7.5645943,3.6840138,3.9074812,3.4081788,0.0,2.0187855,0.31794667,8.445861,0.0,0.0,3.839498,7.6920643,3.6735969,6.050242,0.0,10.045529,1.4139907,0.0,3.6744285,0.0,0.0,5.053919,1.6312203,3.6716294,2.5807638,4.081059,0.0,0.0
13,6.163396,2.4628313,0.0,0.0,4.010351,1.6191719,4.222292,1.157132,0.0,0.0,2.2669213,0.42654568,2.2097697,0.0,1.0387771,0.26256272,0.0,2.64272,0.0,0.9321577,2.2900162,0.0,0.0,0.0,0.0,2.4123123,0.0,3.785274,2.6496572,1.409249,0.0,0.0
14,8.904944,5.919004,0.5181767,0.0,4.8091984,1.386916,8.110919,5.259968,0.0,0.21988335,1.6172049,0.0,8.980763,0.0,5.1203628,0.0,2.8633885,1.6949804,0.0,0.0,3.6700528,0.0,0.83306557,0.0,0.0,3.345006,0.0,5.6311603,9.539251,3.6618884,0.0,0.0
15,8.486726,12.877312,0.0,0.0,2.3214588,4.120037,3.1453104,3.1602879,0.0,6.4238305,5.5596943,1.791401,2.8761847,0.0,10.308987,0.8691962,2.6136537,4.7325296,0.0,0.0,1.2331138,0.0,3.1258357,0.0,0.0,10.906337,0.0,0.13580665,6.018334,3.6347334,0.0,0.0
