,0
0,19534.002
1,21704.924
2,20448.184
3,25245.621
4,22320.322
5,21957.293
6,20675.812
7,20278.23
8,21863.914
9,22607.195
10,23801.36
11,21985.12
12,17348.705
13,20164.709
14,21704.664
15,24086.242
16,21940.2
17,24821.637
18,25241.61
19,24770.182
20,24729.648
21,23911.85
22,19901.818
23,22345.61
24,23284.914
25,21930.172
26,20586.482
27,21611.016
28,21606.86
29,21594.225
30,21236.834
31,21313.014
32,21020.303
33,20157.602
34,21187.537
35,27313.047
36,20083.688
37,21982.926
38,21246.734
39,21293.545
40,21136.537
41,21074.168
42,19582.639
43,21005.38
44,20777.188
45,20354.766
46,19976.703
47,19829.283
48,19488.322
49,18410.84
50,22257.727
51,19779.031
52,19126.21
53,19723.656
54,19087.34
55,19252.365
56,19181.547
57,18896.418
58,18973.32
59,18797.613
60,18724.371
61,17195.629
62,17465.31
63,16784.057
64,15637.97
65,16166.904
66,16630.031
67,16199.76
68,15809.511
69,15500.533
70,15510.519
71,15245.328
72,14888.58
73,17876.6
74,11705.728
75,14435.515
76,10341.435
77,12635.861
78,12949.761
79,14657.253
80,15981.092
81,14127.002
82,14461.717
83,16158.029
84,11380.046
85,14249.841
86,14260.655
87,14195.368
88,13777.38
89,14213.262
90,17640.246
91,14752.5625
92,11961.655
93,10226.255
94,12243.33
95,13536.819
96,12495.95
97,12797.3955
98,13402.973
99,13923.591
100,14133.473
101,14006.437
102,15814.051
103,13366.281
104,13327.717
105,14130.299
106,14630.82
107,15408.222
108,15647.121
109,15682.42
110,15406.066
111,15135.59
112,15175.286
113,15359.106
114,15524.261
115,15301.887
116,14867.484
117,14239.999
118,13914.884
119,13763.785
120,13882.123
121,14135.704
122,14748.247
123,15113.354
124,11918.002
125,16391.414
126,12219.663
127,15067.564
128,14674.964
129,16011.964
130,13485.526
131,14490.917
132,14981.722
133,13595.698
134,12637.495
135,13952.628
136,13525.269
137,14251.269
138,13167.331
139,13726.808
140,13985.276
141,13840.042
142,13556.769
143,13826.894
144,14220.495
145,14860.159
146,14801.6045
147,14548.151
148,12396.737
149,12580.948
150,13599.609
151,6912.959
152,17577.125
153,11563.236
154,12696.002
155,13415.575
156,13539.804
157,12459.92
158,11450.7295
159,11429.961
160,10656.928
161,6136.2393
162,9006.943
163,7349.1426
164,11397.042
165,11745.931
166,12170.246
167,12216.422
168,10504.441
169,12778.123
170,12403.86
171,16724.049
172,15760.847
173,11382.813
174,10949.925
175,13466.444
176,12833.845
177,11482.903
178,13165.674
179,16685.098
180,14746.289
181,13392.677
182,12305.622
183,14791.696
184,16209.153
185,14598.086
186,14580.158
187,14710.532
188,15447.121
189,15783.715
190,16114.184
191,16128.055
192,16053.493
193,15764.506
194,15490.936
195,15184.211
196,15056.4795
197,14994.006
198,14804.771
199,14660.196
200,16123.51
201,16655.344
202,17618.43
203,16369.84
204,17151.201
205,17827.656
206,17915.27
207,17912.307
208,17460.805
209,17187.297
210,16926.98
211,16918.42
212,17203.865
213,19355.918
214,17017.81
215,16921.316
216,16884.143
217,16799.123
218,17685.621
219,18449.604
220,19362.701
221,19594.484
222,19679.578
223,19429.049
224,19265.744
225,18748.041
226,18404.768
227,18862.6
228,19360.348
229,19662.604
230,19253.836
231,18805.969
232,18473.72
233,18194.943
234,18200.828
235,18111.297
236,17919.418
237,17783.854
238,17998.525
239,18356.273
240,18447.617
241,18488.404
242,20637.031
243,20149.924
244,18080.74
245,13692.4375
246,16371.484
247,18237.295
248,17064.959
249,16878.8
250,16953.15
251,17044.715
252,22151.686
253,18190.525
254,17308.705
255,19660.678
256,18543.842
257,18802.629
258,20344.602
259,21284.285
260,19720.94
261,21577.75
262,21814.469
263,19560.273
264,19646.262
265,21226.6
266,21480.465
267,21795.018
268,21700.164
269,21956.113
270,20031.344
271,21662.67
272,19914.795
273,20009.385
274,21593.314
275,19558.334
276,19284.516
277,19567.494
278,22128.05
279,20273.43
280,24201.049
281,19056.047
282,20991.328
283,20431.307
284,20178.76
285,20319.168
286,20255.195
287,20296.658
288,20603.35
289,17291.361
290,15927.097
291,20499.074
292,21072.26
293,19782.543
294,21360.21
295,19108.367
296,22369.738
297,21010.139
298,21973.285
299,22245.84
300,22249.805
301,21755.482
302,21800.502
303,20114.234
304,21172.664
305,21144.738
306,19741.758
307,19804.467
308,19700.252
309,19836.8
310,20296.193
311,20594.615
312,20636.373
313,20370.074
314,22224.898
315,20659.273
316,21067.453
317,23246.008
318,23010.592
319,21275.957
320,22840.3
321,23263.959
322,21431.129
323,21429.764
324,21272.225
325,20979.047
326,21048.354
327,20922.123
328,20769.139
329,20642.412
330,20609.432
331,20791.04
332,21040.06
333,20941.977
334,21123.66
335,21162.787
336,21404.545
337,21776.973
338,21917.887
339,24212.145
340,21781.566
341,21725.742
342,21684.691
343,23525.225
344,23542.037
345,23211.715
346,17115.76
347,21107.982
348,20795.287
349,21824.094
350,24406.975
351,22983.69
352,20052.422
353,24120.457
354,22703.367
355,22074.871
356,22201.406
357,22308.564
358,22405.37
359,22145.115
360,22041.123
361,21995.94
362,21036.902
363,21450.287
364,21263.008
365,21528.543
366,21914.84
367,21650.936
368,22092.879
369,22316.521
370,19798.178
371,20999.965
372,22504.285
373,22371.816
374,22544.664
375,22716.527
376,22680.502
377,22239.666
378,22180.625
379,22194.467
380,22074.508
381,22150.855
382,21923.043
383,21585.04
384,21225.895
385,20872.342
386,20606.475
387,20554.818
388,20747.588
389,20681.516
390,20588.652
391,20615.277
392,20866.912
393,20617.053
394,20210.256
395,20310.229
396,20462.328
397,19633.611
398,20906.844
399,20634.643
400,20800.637
401,19883.0
402,17722.611
403,17300.412
404,20390.633
405,18336.53
406,25268.012
407,23647.54
408,20455.447
409,21925.023
410,22037.076
411,20076.934
412,18598.523
413,19380.86
414,21101.307
415,21205.156
416,21380.434
417,21475.693
418,21324.82
419,21238.227
420,20257.6
421,21466.303
422,21559.232
423,21424.469
424,21517.186
425,21520.656
426,21198.545
427,20284.248
428,21317.932
429,20363.86
430,20534.139
431,25307.23
432,18122.254
433,16862.625
434,16744.02
435,22150.71
436,22514.494
437,23360.797
438,21731.408
439,17489.025
440,18881.531
441,18025.352
442,23603.922
443,18920.656
444,20282.418
445,18923.768
446,19763.154
447,22714.32
448,17871.072
449,15961.804
450,20831.332
451,21552.662
452,17476.83
453,17862.012
454,17277.623
455,19196.414
456,22071.348
457,21299.664
458,20656.164
459,20590.252
460,20191.25
461,18543.732
462,15960.399
463,21423.984
464,16940.982
465,16489.648
466,18627.627
467,18662.715
468,19812.31
469,18514.996
470,18394.408
471,17352.307
472,19754.271
473,21227.635
474,19060.146
475,19364.998
476,18720.012
477,19220.604
478,19396.498
479,21353.086
480,21816.611
481,18890.605
482,21598.527
483,20328.916
484,20147.496
485,19966.787
486,19763.055
487,19770.709
488,19723.021
489,19714.56
490,19572.262
491,20958.488
492,19073.91
493,19004.986
494,18960.113
495,18981.232
496,19228.291
497,19493.621
498,19513.988
499,21398.322
500,19312.096
501,20183.967
502,19176.129
503,20019.783
504,19167.979
505,19338.715
506,20981.033
507,19043.25
508,23630.68
509,20153.209
510,20071.729
511,21123.637
512,15928.792
513,20377.695
514,23394.355
515,23629.686
516,22822.783
517,24257.111
518,19571.686
519,24183.621
520,20525.756
521,17876.45
522,21958.436
523,20435.773
524,20721.316
525,20622.553
526,20855.22
527,19991.752
528,21719.846
529,18286.445
530,22450.94
531,19835.312
532,19538.564
533,20144.037
534,19766.537
535,19753.068
536,22517.504
537,20052.686
538,21084.982
539,20043.033
540,22824.98
541,21991.775
542,16279.8545
543,19447.357
544,22324.31
545,21533.934
546,20714.617
547,21705.387
548,20645.291
549,20616.926
550,21807.385
551,21993.799
552,20916.4
553,22475.428
554,22497.3
555,23090.213
556,21726.756
557,24015.412
558,21962.484
559,21928.332
560,21780.29
561,20642.844
562,22373.145
563,23395.709
564,23349.65
565,25974.367
566,25440.549
567,22764.504
568,22745.688
569,22585.754
570,24327.203
571,23883.229
572,22168.752
573,22227.416
574,24246.078
575,22142.598
576,23415.34
577,23912.564
578,23156.592
579,25784.445
580,25838.066
581,23802.285
582,23706.361
583,23688.773
584,25517.822
585,25174.812
586,23203.621
587,26669.883
588,23906.662
589,27994.49
590,23817.938
591,24352.844
592,23331.75
593,23461.541
594,23380.043
595,23179.164
596,21448.664
597,28594.863
598,22436.69
599,24799.162
600,23615.734
601,23893.465
602,23076.41
603,23684.205
604,23582.465
605,23582.877
606,23516.627
607,23407.062
608,23306.385
609,22775.352
610,23440.432
611,23362.459
612,23440.865
613,22411.855
614,23347.268
615,23407.32
616,23202.258
617,23327.475
618,23312.914
619,23677.385
620,21746.766
621,22371.924
622,21916.314
623,30136.604
624,21797.521
625,20499.42
626,22478.65
627,26026.748
628,23329.79
629,21029.77
630,20609.191
631,18182.375
632,23362.498
633,24222.438
634,21425.227
635,26007.453
636,21854.111
637,28544.523
638,23366.441
639,18519.186
640,22478.938
641,19324.055
642,21741.594
643,23926.953
644,23537.7
645,23412.39
646,23433.771
647,23572.527
648,22200.807
649,23867.998
650,23712.928
651,19677.86
652,23039.66
653,23109.201
654,23277.875
655,23188.904
656,22394.773
657,29264.684
658,24939.79
659,24327.88
660,23824.695
661,24161.654
662,22077.379
663,23155.256
664,22178.387
665,22903.672
666,18709.674
667,23103.725
668,22665.455
669,22734.227
670,23043.627
671,21379.04
672,21337.207
673,22369.33
674,21315.672
675,21564.484
676,22107.648
677,22815.424
678,22178.658
679,23095.19
680,23315.215
681,22409.324
682,22655.545
683,24356.494
684,24664.535
685,24987.008
686,24662.836
687,24753.297
688,22953.367
689,23760.66
690,24025.512
691,24017.48
692,23969.84
693,22440.016
694,22638.318
695,22724.945
696,24464.705
697,24343.707
698,22308.633
699,22326.605
700,19749.941
701,24411.598
702,24626.775
703,23096.16
704,25507.559
705,25586.852
706,24449.24
707,23365.613
708,23378.326
709,23511.938
710,23575.07
711,23515.078
712,23232.373
713,23292.246
714,23268.48
715,23246.682
716,28628.732
717,24563.04
718,24172.807
719,22138.18
720,19326.08
721,18912.793
722,23741.225
723,20587.344
724,22181.998
725,20235.326
726,23260.43
727,24587.129
728,24277.377
729,19135.912
730,23885.742
731,22175.871
732,17565.15
733,22068.248
734,22034.475
735,19467.627
736,25146.06
737,19596.2
738,22951.078
739,23068.836
740,22770.955
741,23003.26
742,23509.537
743,20422.854
744,23356.621
745,22642.64
746,22620.344
747,22312.977
748,22278.105
749,22235.793
750,22408.21
751,22359.207
752,22218.29
753,22087.895
754,22810.7
755,22430.717
756,22816.23
757,22774.814
758,21756.258
759,22735.8
760,23018.969
761,23021.385
762,22600.52
763,22507.768
764,21690.217
765,21099.89
766,15638.091
767,16040.674
768,19196.11
769,18887.057
770,18982.125
771,20139.576
772,20687.195
773,18956.793
774,18716.545
775,18672.215
776,18727.117
777,18618.875
778,18030.785
779,17025.938
780,21100.002
781,13969.976
782,18138.895
783,19982.5
784,20207.48
785,20092.322
786,20279.354
787,18454.479
788,20107.373
789,20185.68
790,19668.732
791,19811.154
792,19768.582
793,19831.123
794,18395.908
795,19725.523
796,19473.738
797,18932.553
798,18563.863
799,18018.63
800,18519.988
801,18369.582
802,18383.768
803,17833.771
804,17153.906
805,17767.246
806,17302.172
807,17955.594
808,17843.953
809,17946.531
810,19261.713
811,18518.047
812,18728.133
813,18305.746
814,18760.3
815,18643.938
816,18823.82
817,19208.467
818,18976.67
819,19123.285
820,12980.445
821,18063.64
822,19275.598
823,20183.18
824,18540.227
825,17940.95
826,19828.352
827,15506.516
828,18984.814
829,20475.535
830,20735.344
831,20224.594
832,24377.799
833,15892.982
834,24008.143
835,17343.273
836,21216.727
837,15973.87
838,19218.113
839,14493.626
840,16001.188
841,18123.928
842,17817.533
843,18458.785
844,18403.465
845,18878.662
846,18958.99
847,19124.703
848,18006.46
849,19874.023
850,19368.244
851,19094.828
852,19092.104
853,18968.307
854,16185.075
855,15473.711
856,12989.122
857,18815.367
858,17266.678
859,16253.397
860,19673.018
861,19236.488
862,17153.979
863,17465.105
864,19916.205
865,18406.246
866,17389.031
867,21008.564
868,18212.115
869,18726.88
870,19038.375
871,19516.955
872,19858.307
873,19949.58
874,18354.031
875,18683.107
876,18832.06
877,19304.473
878,19416.287
879,19654.793
880,19716.709
881,21720.668
882,21494.824
883,21082.184
884,21466.926
885,19814.139
886,21754.07
887,21483.621
888,21496.742
889,21261.496
890,21689.135
891,21688.72
892,19871.027
893,20198.95
894,20363.314
895,20524.037
896,22345.732
897,22187.041
898,20521.965
899,21909.242
900,22107.873
901,20133.18
902,20254.557
903,21486.861
904,21793.059
905,21889.566
906,20198.22
907,17097.186
908,16966.553
909,18555.955
910,12614.535
911,17598.773
912,19929.172
913,19708.188
914,20845.059
915,20462.445
916,21515.61
917,20943.178
918,21351.316
919,21506.111
920,21294.4
921,21173.438
922,21390.021
923,21348.61
924,21128.926
925,20994.408
926,20926.49
927,21230.59
928,20978.576
929,20766.404
930,20280.746
931,13601.142
932,18058.879
933,21485.248
934,21501.857
935,22881.523
936,19687.674
937,19848.664
938,19801.535
939,19759.664
940,19700.738
941,19832.03
942,19997.66
943,20197.963
944,20488.275
945,21897.906
946,21613.588
947,21277.86
948,20445.43
