,Closing Price,Open Price,High price,Low Price
0,21704.4492,21785.3906,21938.1992,21555.5293
1,21242.7793,21389.4902,21742.0703,21163.5703
2,21423.8203,21402.1699,21534.0508,21344.8496
3,21913.0605,21402.6992,21916.2109,21402.6992
4,21220.8105,21632.6992,21684.2109,21098.8398
5,21805.8105,21740.8594,21954.1699,21531.9707
6,21821.7793,21562.0703,22020.6602,21498.8691
7,22184.5508,21834.6406,22225.3809,21761.0391
8,22014.4609,22205.0,22360.2891,21871.5996
9,21174.7695,21644.0391,21644.0391,21077.2402
10,21223.5,20988.7402,21334.3809,20988.7402
11,21734.7207,21825.2402,21892.5293,21672.2695
12,21874.1895,22010.9395,22010.9395,21677.1504
13,22532.9004,22523.2793,22645.5195,22455.0098
14,22527.4805,22430.5898,22690.7402,22393.1406
15,23134.5508,22900.7695,23134.5508,22871.0391
16,23087.7207,23330.8906,23369.0508,23062.6191
17,22740.7109,22751.5098,22843.1992,22542.0801
18,22687.2109,22801.8496,22862.0293,22619.2305
19,22258.0,22265.9297,22265.9297,22089.0898
20,22690.5996,22637.3301,22751.0391,22573.1797
21,22731.0996,22878.7598,22878.7598,22695.7305
22,22862.5996,22497.9004,22881.2695,22207.3105
23,22514.9199,22630.5898,22713.5801,22425.1309
24,21949.75,22225.0605,22225.0605,21739.2207
25,22104.1992,22403.2598,22424.5391,21915.2793
26,21885.2109,21997.6406,22230.5508,21690.5996
27,21859.3398,22020.5391,22235.5098,21859.3398
28,21640.8906,21992.1797,22309.3301,21640.8906
29,21293.3203,21270.8594,21665.75,21223.3809
30,21392.7109,21302.6992,21453.4805,21109.0098
31,21160.5801,21383.7109,21383.7109,20994.5391
32,20930.6699,21163.0098,21206.5996,20751.1406
33,20484.3691,20675.75,20902.5098,20484.3691
34,20931.2598,20388.7891,20971.1895,20388.7891
35,20392.0605,20762.6504,20762.6504,20350.4805
36,21104.7891,20739.4805,21108.25,20739.4805
37,21056.6602,20849.0801,21173.5605,20785.8008
38,21464.7207,21104.5605,21464.7207,21104.5605
39,20972.2891,21546.9395,21546.9395,20857.0293
40,21261.8906,21289.6992,21474.3105,21223.9902
41,20906.3105,20999.3203,21031.0801,20844.1504
42,21042.4609,20956.9395,21066.5801,20595.5898
43,20585.0605,20964.75,20964.75,20526.7305
44,20389.4805,20545.3809,20621.4805,20356.5098
