datetime,open,high,low,close,volume,openinterest,signal
2014-09-10,24969.39,24969.39,24681.19,24705.36,0,0,-1
2014-09-11,24701.73,24782.95,24589.9,24662.64,0,0,-1
2014-09-12,24620.19,24701.43,24487.94,24595.32,0,0,-1
2014-09-15,24410.38,24471.8,24300.57,24356.99,0,0,-1
2014-09-16,24318.82,24405.98,24117.6,24136.01,0,0,-1
2014-09-17,24380.28,24470.26,24339.53,24376.41,0,0,-1
2014-09-18,24294.64,24294.64,24103.53,24168.72,0,0,-1
2014-09-19,24334.65,24419.85,24155.62,24306.16,0,0,-1
2014-09-22,24072.18,24082.62,23949.29,23955.49,0,0,-1
2014-09-23,23882.59,24012.06,23825.96,23837.07,0,0,-1
2014-09-24,23788.98,24016.41,23788.98,23921.61,0,0,-1
2014-09-25,24048.38,24058.02,23754.33,23768.13,0,0,-1
2014-09-26,23581.56,23717.08,23555.62,23678.41,0,0,-1
2014-09-29,23399.51,23399.51,23095.78,23229.21,0,0,-1
2014-09-30,23137.26,23137.26,22855.04,22932.98,0,0,-1
2014-10-03,22691.59,23147.85,22565.6,23064.56,0,0,-1
2014-10-06,23053.79,23441.27,22988.64,23315.04,0,0,-1
2014-10-07,23224.22,23517.85,23209.77,23422.52,0,0,-1
2014-10-08,23221.76,23369.39,23184.15,23263.33,0,0,-1
2014-10-09,23461.35,23581.35,23437.87,23534.53,0,0,-1
2014-10-10,23198.8,23237.4,23071.27,23088.54,0,0,-1
2014-10-13,22884.0,23273.04,22871.27,23143.38,0,0,-1
2014-10-14,23064.92,23409.96,23040.8,23047.97,0,0,-1
2014-10-15,23087.5,23238.04,22992.93,23140.05,0,0,-1
2014-10-16,22913.5,23040.31,22868.02,22900.94,0,0,-1
2014-10-17,22904.11,23148.96,22888.76,23023.21,0,0,-1
2014-10-20,23239.78,23290.42,23052.31,23070.26,0,0,-1
2014-10-21,23073.36,23231.52,22964.92,23088.58,0,0,-1
2014-10-22,23300.45,23460.77,23193.48,23403.97,0,0,-1
2014-10-23,23296.0,23397.17,23221.69,23333.18,0,0,-1
2014-10-24,23311.88,23352.59,23157.48,23302.2,0,0,-1
2014-10-27,23275.4,23275.4,23012.8,23143.23,0,0,-1
2014-10-28,23189.83,23570.92,23189.83,23520.36,0,0,-1
2014-10-29,23703.95,23855.67,23699.56,23819.87,0,0,-1
2014-10-30,23841.74,23841.74,23615.1,23702.04,0,0,-1
2014-10-31,23913.69,24046.4,23850.7,23998.06,0,0,-1
2014-11-03,24133.45,24133.45,23875.09,23915.97,0,0,-1
2014-11-04,23849.72,24016.42,23815.85,23845.66,0,0,-1
2014-11-05,23846.84,23846.84,23623.14,23695.62,0,0,-1
2014-11-06,23737.76,23775.73,23623.41,23649.31,0,0,-1
2014-11-07,23607.65,23831.25,23430.2,23550.24,0,0,-1
2014-11-10,24074.85,24110.24,23703.72,23744.7,0,0,-1
2014-11-11,23809.41,23931.45,23760.53,23808.28,0,0,-1
2014-11-12,23883.31,23999.97,23801.73,23938.18,0,0,-1
2014-11-13,23854.33,24097.92,23850.39,24019.94,0,0,-1
2014-11-14,24048.36,24102.7,23966.8,24087.38,0,0,-1
2014-11-17,24313.06,24313.06,23787.28,23797.08,0,0,-1
2014-11-18,23868.9,23881.01,23483.19,23529.17,0,0,-1
2014-11-19,23466.07,23572.21,23341.16,23373.31,0,0,-1
