,date
0,20080703
1,20080704
2,20080707
3,20080708
4,20080709
5,20080710
6,20080711
7,20080714
8,20080715
9,20080716
10,20080717
11,20080718
12,20080721
13,20080722
14,20080723
15,20080724
16,20080725
17,20080728
18,20080729
19,20080730
20,20080731
21,20080801
22,20080804
23,20080805
24,20080807
25,20080808
26,20080811
27,20080812
28,20080813
29,20080814
30,20080815
31,20080818
32,20080819
33,20080820
34,20080821
35,20080825
36,20080826
37,20080827
38,20080828
39,20080829
40,20080901
41,20080902
42,20080903
43,20080904
44,20080905
45,20080908
46,20080909
47,20080910
48,20080911
49,20080912
50,20080916
51,20080917
52,20080918
53,20080919
54,20080922
55,20080923
56,20080924
57,20080925
58,20080926
59,20080929
60,20080930
61,20081002
62,20081003
63,20081006
64,20081008
65,20081009
66,20081010
67,20081013
68,20081014
69,20081015
70,20081016
71,20081017
72,20081020
73,20081021
74,20081022
75,20081023
76,20081024
77,20081027
78,20081028
79,20081029
80,20081030
81,20081031
82,20081103
83,20081104
84,20081105
85,20081106
86,20081107
87,20081110
88,20081111
89,20081112
90,20081113
91,20081114
92,20081117
93,20081118
94,20081119
95,20081120
96,20081121
97,20081124
98,20081125
99,20081126
100,20081127
101,20081128
102,20081201
103,20081202
104,20081203
105,20081204
106,20081205
107,20081208
108,20081209
109,20081210
110,20081211
111,20081212
112,20081215
113,20081216
114,20081217
115,20081218
116,20081219
117,20081222
118,20081223
119,20081224
120,20081229
121,20081230
122,20081231
123,20090102
124,20090105
125,20090106
126,20090107
127,20090108
128,20090109
129,20090112
130,20090113
131,20090114
132,20090115
133,20090116
134,20090119
135,20090120
136,20090121
137,20090122
138,20090123
139,20090129
140,20090130
141,20090202
142,20090203
143,20090204
144,20090205
145,20090206
146,20090209
147,20090210
148,20090211
149,20090212
150,20090213
151,20090216
152,20090217
153,20090218
154,20090219
155,20090220
156,20090223
157,20090224
158,20090225
159,20090226
160,20090227
161,20090302
162,20090303
163,20090304
164,20090305
165,20090306
166,20090309
167,20090310
168,20090311
169,20090312
170,20090313
171,20090316
172,20090317
173,20090318
174,20090319
175,20090320
176,20090323
177,20090324
178,20090325
